rank,title,title_length,detected_language,content_type,is_short,has_hashtags,views,likes
736,🔴 𝗚𝗘𝗢 𝗡𝗲𝘄𝘀 𝗟𝗶𝘃𝗲: 𝗟𝗮𝘁𝗲𝘀𝘁 𝗣𝗮𝗸𝗶𝘀𝘁𝗮𝗻 𝗡𝗲𝘄𝘀 𝗟𝗶𝘃𝗲 𝟐4/𝟕 Breaking News & Headlines (Today News) #pakistannews,100,English,Ad/Promo,0,1,1.19B,1.22M
737,Cardi B - Bodak Yellow [OFFICIAL MUSIC VIDEO],45,English,Music Video,0,0,1.19B,8.53M
738,Ylvis - The Fox (What Does The Fox Say?) [Official music video HD],66,English,Music Video,0,0,1.19B,9.04M
739,AC/DC - Back In Black (Official 4K Video),41,English,Other,0,0,1.19B,7.12M
740,How to make cow shed roof || Rural house mini project,53,English,Tutorial/Educational,0,0,1.19B,15.2M
741,Gun Snatch Drill😂🤯💀,19,English,Other,0,0,1.19B,13.1M
742,TN EN VIVO - SEGUÍ LA TRANSMISIÓN EN VIVO DE TODO NOTICIAS,58,English,Other,0,0,1.19B,452K
743,Bath Song Part 1 Telugu Shorts | Baby Ronnie | Minnu and Mintu Telugu Nursery Rhyme | #youtubeshorts,100,English,Kids/Educational,0,1,1.18B,4.88M
744,FILHALL | Akshay Kumar Ft Nupur Sanon | BPraak | Jaani | Arvindr Khaira | Ammy Virk | DESI MELODIES,99,English,Other,0,0,1.18B,9.36M
745,TV9 Telugu News LIVE,20,English,Other,0,0,1.18B,0
746,Rihanna - We Found Love ft. Calvin Harris,41,English,Music Video,0,0,1.18B,5.35M
747,"David Guetta, Bebe Rexha & J Balvin - Say My Name (Official Video)",66,English,Music Video,0,0,1.18B,6.48M
748,Willy William - Ego (Clip Officiel),35,English,Music Video,0,0,1.18B,7.46M
749,8 Parche | Baani Sandhu | Gur Sidhu | Gurneet Dosanjh | Punjabi Song | Ishtar Punjabi #punjabisong,98,English,Other,0,1,1.18B,6.52M
750,Survivor - Eye Of The Tiger (Official HD Video),47,English,Other,0,0,1.18B,6.89M
751,"KAROL G, Mariah Angeliq - EL MAKINON (Official Video)",53,English,Music Video,0,0,1.18B,5.21M
752,Nicki Minaj - Anaconda,22,English,Other,0,0,1.18B,7.27M
753,Head Shoulders Knees & Toes | @CoComelon Nursery Rhymes & Kids Songs,68,English,Kids/Educational,0,0,1.17B,2.00M
754,Subscribe for an iPhone,23,English,Other,0,0,1.17B,6.51M
755,Thalia - Desde Esa Noche (Premio Lo Nuestro 2016) ft. Maluma,60,English,Music Video,0,0,1.17B,3.14M
